order_total,booking_type,cust_id,purchase_date,order_number,id
7200,online,60f2014b-3549-43b3-b72d-2acf6994b6fb,2015-07-03T14:46:09.864029Z,359032,04eb5a3f-9747-4877-9875-7c6c618d8fc0
3600,online,4a56f4ff-3464-49f1-8fdc-b128d57f7151,2015-07-03T16:48:15.068202Z,359160,056494a0-3264-4b7c-aa7b-37aa6d83e79b
3600,online,8be44ccf-e8bc-46c8-bf2a-42780a60cdf5,2015-06-26T21:35:15.432938Z,354365,05ba64b1-b3f2-4c72-9f1c-0d78a5275928
3600,online,e442f2d7-2c28-4ffa-b802-36c0ddfda154,2015-07-02T16:09:20.170205Z,358210,1a234541-efa1-4420-b346-d8b637dd3605
10800,online,5372e133-6eb5-4cab-af1e-2b54690937a2,2015-07-02T15:42:16.432464Z,358193,20fb82a0-aa3e-4dcf-a8f8-b2af3d921617
3600,online,cbc11adb-1ba5-4529-a1c7-aa2daabf2016,2015-07-02T20:53:14.259207Z,358610,22ab9694-e73e-4332-954b-ab45ab8c7bfd
6600,online,0b107f5d-1e16-46ab-a1c2-afe79a168305,2015-05-18T18:23:28.773428Z,327402,3d226afe-fbe4-4924-b3a5-678df1afa62f
3600,online,87a28761-be82-48f3-a37f-ca9a8265597a,2015-07-01T21:34:33.340838Z,357740,52107487-03b1-4851-b9bf-e31317e2328b
3600,online,06803135-0464-430d-b9e0-22ce1400a55c,2015-07-03T18:51:13.302239Z,359330,5ed74d21-dcda-4d91-b544-c2c6aa274286
3600,online,b510ee93-a141-4f59-b3e1-94324f3f0ca1,2015-07-03T04:05:54.943633Z,358902,6bdd7778-f116-4292-8dc4-b02cd84efaa0
3600,online,182c95b0-4aee-4794-abb4-1e8c42d4e401,2015-06-30T12:05:44.565341Z,356408,9b553a84-df6c-4119-a29c-f9cbcbc0be2d
3600,online,1292f8e7-2d8f-4f71-8734-5ed98e144e7a,2015-07-03T22:20:07.676423Z,359507,9e3daab0-8cae-415e-bd54-ea7981a863f2
3600,online,59013b45-f893-4e9e-bcda-d84ff88cfa2b,2015-07-02T14:38:38.796445Z,358152,d4eb9689-6017-4680-98d1-3ee7929bc4ab
3600,online,68b742ce-a8f5-4725-9226-852becd1f055,2015-06-22T12:53:54.965816Z,349784,d8745300-5f67-4fc0-95b9-822046b35fbb
3600,online,fd23a00a-a03c-4a09-a54d-39cdc405d803,2015-07-01T06:40:25.959484Z,357263,e01ba5eb-1101-4f91-9d20-6c60ce9c10fe
7200,online,60f2014b-3549-43b3-b72d-2acf6994b6fb,2015-07-03T14:46:09.864029Z,359032,04eb5a3f-9747-4877-9875-7c6c618d8fc0
3600,online,4a56f4ff-3464-49f1-8fdc-b128d57f7151,2015-07-03T16:48:15.068202Z,359160,056494a0-3264-4b7c-aa7b-37aa6d83e79b
3600,online,8be44ccf-e8bc-46c8-bf2a-42780a60cdf5,2015-06-26T21:35:15.432938Z,354365,05ba64b1-b3f2-4c72-9f1c-0d78a5275928
3600,online,e442f2d7-2c28-4ffa-b802-36c0ddfda154,2015-07-02T16:09:20.170205Z,358210,1a234541-efa1-4420-b346-d8b637dd3605
10800,online,5372e133-6eb5-4cab-af1e-2b54690937a2,2015-07-02T15:42:16.432464Z,358193,20fb82a0-aa3e-4dcf-a8f8-b2af3d921617
3600,online,cbc11adb-1ba5-4529-a1c7-aa2daabf2016,2015-07-02T20:53:14.259207Z,358610,22ab9694-e73e-4332-954b-ab45ab8c7bfd
6600,online,0b107f5d-1e16-46ab-a1c2-afe79a168305,2015-05-18T18:23:28.773428Z,327402,3d226afe-fbe4-4924-b3a5-678df1afa62f
3600,online,87a28761-be82-48f3-a37f-ca9a8265597a,2015-07-01T21:34:33.340838Z,357740,52107487-03b1-4851-b9bf-e31317e2328b
3600,online,06803135-0464-430d-b9e0-22ce1400a55c,2015-07-03T18:51:13.302239Z,359330,5ed74d21-dcda-4d91-b544-c2c6aa274286
3600,online,b510ee93-a141-4f59-b3e1-94324f3f0ca1,2015-07-03T04:05:54.943633Z,358902,6bdd7778-f116-4292-8dc4-b02cd84efaa0
3600,online,182c95b0-4aee-4794-abb4-1e8c42d4e401,2015-06-30T12:05:44.565341Z,356408,9b553a84-df6c-4119-a29c-f9cbcbc0be2d
3600,online,1292f8e7-2d8f-4f71-8734-5ed98e144e7a,2015-07-03T22:20:07.676423Z,359507,9e3daab0-8cae-415e-bd54-ea7981a863f2
3600,online,59013b45-f893-4e9e-bcda-d84ff88cfa2b,2015-07-02T14:38:38.796445Z,358152,d4eb9689-6017-4680-98d1-3ee7929bc4ab
3600,online,68b742ce-a8f5-4725-9226-852becd1f055,2015-06-22T12:53:54.965816Z,349784,d8745300-5f67-4fc0-95b9-822046b35fbb
3600,online,fd23a00a-a03c-4a09-a54d-39cdc405d803,2015-07-01T06:40:25.959484Z,357263,e01ba5eb-1101-4f91-9d20-6c60ce9c10fe
7200,online,60f2014b-3549-43b3-b72d-2acf6994b6fb,2015-07-03T14:46:09.864029Z,359032,04eb5a3f-9747-4877-9875-7c6c618d8fc0
3600,online,4a56f4ff-3464-49f1-8fdc-b128d57f7151,2015-07-03T16:48:15.068202Z,359160,056494a0-3264-4b7c-aa7b-37aa6d83e79b
3600,online,8be44ccf-e8bc-46c8-bf2a-42780a60cdf5,2015-06-26T21:35:15.432938Z,354365,05ba64b1-b3f2-4c72-9f1c-0d78a5275928
3600,online,e442f2d7-2c28-4ffa-b802-36c0ddfda154,2015-07-02T16:09:20.170205Z,358210,1a234541-efa1-4420-b346-d8b637dd3605
10800,online,5372e133-6eb5-4cab-af1e-2b54690937a2,2015-07-02T15:42:16.432464Z,358193,20fb82a0-aa3e-4dcf-a8f8-b2af3d921617
3600,online,cbc11adb-1ba5-4529-a1c7-aa2daabf2016,2015-07-02T20:53:14.259207Z,358610,22ab9694-e73e-4332-954b-ab45ab8c7bfd
6600,online,0b107f5d-1e16-46ab-a1c2-afe79a168305,2015-05-18T18:23:28.773428Z,327402,3d226afe-fbe4-4924-b3a5-678df1afa62f
3600,online,87a28761-be82-48f3-a37f-ca9a8265597a,2015-07-01T21:34:33.340838Z,357740,52107487-03b1-4851-b9bf-e31317e2328b
3600,online,06803135-0464-430d-b9e0-22ce1400a55c,2015-07-03T18:51:13.302239Z,359330,5ed74d21-dcda-4d91-b544-c2c6aa274286
3600,online,b510ee93-a141-4f59-b3e1-94324f3f0ca1,2015-07-03T04:05:54.943633Z,358902,6bdd7778-f116-4292-8dc4-b02cd84efaa0
3600,online,182c95b0-4aee-4794-abb4-1e8c42d4e401,2015-06-30T12:05:44.565341Z,356408,9b553a84-df6c-4119-a29c-f9cbcbc0be2d
3600,online,1292f8e7-2d8f-4f71-8734-5ed98e144e7a,2015-07-03T22:20:07.676423Z,359507,9e3daab0-8cae-415e-bd54-ea7981a863f2
3600,online,59013b45-f893-4e9e-bcda-d84ff88cfa2b,2015-07-02T14:38:38.796445Z,358152,d4eb9689-6017-4680-98d1-3ee7929bc4ab
3600,online,68b742ce-a8f5-4725-9226-852becd1f055,2015-06-22T12:53:54.965816Z,349784,d8745300-5f67-4fc0-95b9-822046b35fbb
