id,venue_id,name,logo_url
1314,53,Goodnights Presents: Lil Rel,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1435/original/lil_rel.jpg?1419259369
1280,53,Special Event: Taylor Williamson (PG-13),https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1215/original/Taylor_SE.jpg?1418824865
1162,53,Comedy Roulette!,
1339,53,Goodnights Presents: Sean Patton,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/530/original/Sean_Patton.jpg?1417535111
1306,53,Special Event: Valentine's Weekend with Justin Willman,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1218/original/Justin_Willman_SE.jpg?1418825148
1183,53,Rob Schneider - Special Event,
1205,53,Goodnights Presents: Greg Proops,
1921,53,Jay Stadler Game Show Show Show,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1325/original/Jay_Stadler_Game.png?1418930225
1125,53,Greg Behrendt - Special Event,
1113,53,Open Mic,
1106,53,Godfrey,
1107,53,Heath Hyche,
1110,53,Brad Reeder,
1105,53,Godfrey,
1112,53,Natasha Leggero,
1109,53,Greg Morton,
1108,53,Heath Hyche - SPECIAL FAMILY SHOW,
1116,53,Jim Norton - Special Event,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/943/original/Jennifer_Stencel_SE.jpg?1417540254
1120,53,Myq Kaplan,
1111,53,Charlie Viracola,
1115,53,Tracy Morgan - Special Event,
1117,53,Gary Gulman,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/944/original/Mike_and_Amy_SE2.jpg?1417540266
1118,53,New Year's Eve w/ Taylor Williamson (AGT Runner-Up!),https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/946/original/Marlon_Wayans_SE.jpg?1417540290
1119,53,Myq Kaplan,
1124,53,Greg Behrendt Special Event,
1126,53,Factory Open Mic,
1123,53,John Heffron,
1128,53,Host Showdown!,
1121,53,Factory Open Mic,
1677,53,Goodnights Presents: Midnight Dirty Valentines,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1723/original/ALL_DirtyValentine_SE_020315.jpg?1423086933
1154,53,Paul Mooney - Special Event,
1155,53,Tim Meadows - Special Event,
1157,53,Jon Dore,
1160,53,Raleigh's Best!,
1303,53,Goodnights Presents: Jessiemae Peluso,
1182,53,Anything Goes Late Show (FREE),
1180,53,2014 North Carolina’s Funniest Semi-Finals,
1186,53,Anything Goes Late Show (FREE),
1304,53,Goodnights Presents: Jessiemae Peluso,
1187,53,Anything Goes Late Show (FREE),
1202,53,Justin Willman,
1134,53,Tom Segura,
1133,53,Todd Glass,
1142,53,Lil Duval - Special Event,
1135,53,Felipe Esparza,
1137,53,Sarah Colonna,
1188,53,Anything Goes Late Show (FREE),
1140,53,Dom Irrera,
1141,53,Doug Benson Stand-Up - Special Event,
1143,53,First Response  Last Laugh!,
1145,53,Anything Goes Late Show,
1144,53,First Response : Laughter!,
1146,53,Huggy Lowdown Comedy Throwdown!,
1148,53,Ralphie May - Special Event,
1151,53,Comedy Roulette,
1152,53,Steve Rannazzisi - Special Event,
1150,53,Comedy Buzzword Bingo,
1156,53,Iliza Shlesinger,
1153,53,Dave Attell - Special Event,
1161,53,Buzzword Bingo at Goodnights!,
1159,53,Factory Open Mic,
1166,53,Dana Gould The Simpsons,
1158,53,Greg Fitzsimmons,
1163,53,Andy Woodhull,
1169,53,Adam Newman,
1168,53,Movie Night with the Peanut Gallery,
1170,53,Tim Meadows - Special Event,
1171,53,Tommy Davidson,
1172,53,Jon Reep - Special Event,
1176,53,(RESCHEDULED) Goodnights Comedy Academy Graduation,
1177,53,Goodnights Presents: Burlesque and Comedy Show,
1178,53,Jay Stadler Game Show Show Show,
1181,53,2014 North Carolina’s Funniest Person FINALS,
1173,53,2014 North Carolina’s Funniest Person Preliminary,
1191,53,Open Mic at Goodnights,
1185,53,DeRay Davis - Special Event,
1193,53,Anything Goes Late Show (FREE),
1201,53,Jamie Kennedy - Special Event,
1200,53,Carlos Mencia - Special Event,
1196,53,North Carolina Funniest Reporter Show,
1197,53,Phil Hanley,
1192,53,Comedy Buzzword Bingo at Goodnights!,
1206,53,Goodnights Presents: Josh Blue,
1203,53,Aries Spears - Special Event,
1207,53,Greg Proops - Podcast,
1204,53,Aries Spears - Special Event,
1194,53,Port City Comedy Six-Pack - Sean Webb Benefit Show,
1210,53,Goodnights Presents: The GCA Graduation Showcase,
1209,53,Goodnights Presents: Comedy Roulette!,
1208,53,Goodnights Presents: Josh Wolf,
1258,53,Special Event: Taylor Williamson,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1444/original/Taylor_Williamson_SE.jpg?1419364705
1257,53,Goodnights Presents: The GCA Graduation Showcase,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1309/original/RDU_ComAcad_SE_061814.jpg?1418929359
1248,53,Goodnights Presents: Anything Goes Late Show (FREE),
1237,53,Goodnights Presents: Julian McCullough,
1226,53,Goodnights Presents: Anything Goes Late Show (FREE),
1239,53,Comedy Film Nerds Podcast Rdcg w/ Jimmy Pardo and Surprise Guest!,
1245,53,Special Event: Ralphie May,
1228,53,Goodnights Presents: Anything Goes Late Show (FREE),
1229,53,Anything Goes Late Show (FREE),
1253,53,Open Mic at Goodnights,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/552/original/SeatEngine_OpenMic2.jpg?1417535371
1254,53,Goodnights Presents: Dominique,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1214/original/Dominque_SE.jpg?1418824784
1256,53,Special Event: John Caparulo,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/514/original/john_caparulo_SE.jpg?1417534921
1224,53,Goodnights Presents:The Sinful Six (Test your comedic limits),https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/2565/original/Sinful-six.png?1428606485
1217,53,Movie Night with the Peanut Gallery,
1215,53,Craig Shoemaker - Special Event,
1218,53,Charlie Murphy - Special Event,
1219,53,Open Mic at Goodnights,
1220,53,Goodnights Presents: Nick Turner,
1222,53,Triangle's Funniest Accountant,
1223,53,Goodnights Presents: Comedy Smackdown!,
1221,53,NC Funniest Reporter Show,
1231,53,Special Event: Bill Bellamy,
1235,53,Goodnights Presents: The GCA Graduation Showcase,
1232,53,Special Event: Margaret Cho,
1230,53,Goodnights Presents: Rich Vos,
1236,53,Goodnights Presents: Seaton Smith,
1234,53,George Lopez - Special Event,
1233,53,Open Mic at Goodnights,
1240,53,Open Mic at the Factory,
1247,53,Goodnights Presents: Comedy Roulette!,
1246,53,Raleigh's Best,
1255,53,John Caparulo,
1129,53,Host Showdown!,
1139,53,Nick Thune,
1174,53,Sinbad - Special Event,
2174,53,Special Event: Carly Aquilino,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1259/original/Carly_Aquilino_SE.jpg?1418922737
1227,53,Goodnights Presents: Anything Goes Late Show (FREE),
1198,53,Jake Johannsen,
1216,53,Breast Friends,
1212,53,The Heckler Show,
1130,53,Factory Open Mic,
1136,53,Sebastian Maniscalco - Special Event,
1149,53,Mick Foley - Special Event,
1214,53,Heather McDonald - Special Event,
1199,53,Don DC Curry - Special Event,
1603,53,Goodnights Presents: Chip Chantry,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1679/original/Chip_Chantry_SE.jpg?1421769075
1307,53,Goodnights Presents: Gary Gulman,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1442/original/Gary_Gulman_SE.jpg?1419355133
1101,53,Myq Kaplan,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/892/original/Test_tube_SE.jpg?1417539626
1131,53,Factory Open Mic,
1167,53,FREE Anything Goes Late Show (Sat  May 17),
1213,53,Mary Lynn Rajskub - Special Event,
1225,53,Goodnights Presents: Anything Goes Late Show (FREE),
2486,53,LOL Comedy Showcase,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/14/original/Adam_Ferrara_SE.jpg?1417529031
1630,53,Goodnights Presents: Reno Collier,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1728/original/Reno_Collier_SE.jpg?1423255313
1147,53,Marc Maron - Special Event,
1175,53,Tommy Blaze,
1632,53,Special Event: Marlon Wayans,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1364/original/Marlon_Wayans_SE.jpg?1418932107
1164,53,Damon Wayans - Special Event,
1697,53,test event,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/102/original/eve_1219_lrg.jpg?1417530066
1138,53,Movie Night with the Peanut Gallery,
1211,53,Goodnights Presents: Sinful Six! (Test your comedic limits),
1698,53,test,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/618/original/eve_2659_lrg.jpg?1417536155
6154,53,Adam Ferrara,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/16/original/Adam_Ferrara_SE.jpg?1417529054
1933,53,Special Event : Carly Aquilino,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1259/original/Carly_Aquilino_SE.jpg?1418922737
1165,53,FREE Anything Goes Late Show - Sat 5/3,
1179,53,(CANCELED) Open Mic (June 10 at 9:30pm),
1190,53,Goodnights Presents: Anything Goes Late Show (FREE),
1189,53,Goodnights Presents: Anything Goes Late Show (FREE),
