id,event_id,start_date_time,sold_out,cancelled_at
3176,342,2013-12-20T22:00:00-05:00,False,None
3177,342,2013-12-21T19:30:00-05:00,False,None
5109,1289,2015-02-19T20:00:00-05:00,False,None
5114,1289,2015-02-22T19:30:00-05:00,False,None
5112,1289,2015-02-21T19:30:00-05:00,False,None
5113,1289,2015-02-21T21:45:00-05:00,False,None
5111,1289,2015-02-20T22:00:00-05:00,False,None
5110,1289,2015-02-20T19:30:00-05:00,False,None
1035,189,2011-07-23T20:00:00-04:00,False,None
1032,189,2011-07-21T20:00:00-04:00,False,None
1033,189,2011-07-22T20:00:00-04:00,False,None
1034,189,2011-07-22T22:30:00-04:00,False,None
1846,189,2012-08-09T20:00:00-04:00,False,None
1848,189,2012-08-10T22:00:00-04:00,False,None
1849,189,2012-08-11T19:30:00-04:00,False,None
1850,189,2012-08-11T22:00:00-04:00,False,None
1036,189,2011-07-23T22:30:00-04:00,False,None
1847,189,2012-08-10T19:30:00-04:00,False,None
2439,292,2013-03-26T21:45:00-04:00,False,None
2427,292,2013-03-26T19:30:00-04:00,False,None
2952,319,2013-10-25T22:00:00-04:00,False,None
2953,319,2013-10-26T19:30:00-04:00,False,None
2951,319,2013-10-25T19:30:00-04:00,False,None
2949,319,2013-10-23T20:00:00-04:00,False,None
2954,319,2013-10-26T22:00:00-04:00,False,None
2950,319,2013-10-24T20:00:00-04:00,False,None
1554,80,2012-03-29T20:00:00-04:00,False,None
2408,80,2013-03-30T19:30:00-04:00,False,None
2409,80,2013-03-30T22:00:00-04:00,False,None
2405,80,2013-03-28T20:00:00-04:00,False,None
2406,80,2013-03-29T19:30:00-04:00,False,None
458,80,2010-09-30T20:00:00-04:00,False,None
459,80,2010-10-01T20:00:00-04:00,False,None
461,80,2010-10-02T20:00:00-04:00,False,None
462,80,2010-10-02T22:30:00-04:00,False,None
1555,80,2012-03-30T19:30:00-04:00,False,None
1556,80,2012-03-30T22:00:00-04:00,False,None
1557,80,2012-03-31T19:30:00-04:00,False,None
1558,80,2012-03-31T22:00:00-04:00,False,None
2407,80,2013-03-29T22:00:00-04:00,False,None
1686,80,2012-03-29T22:15:00-04:00,False,None
460,80,2010-10-01T22:30:00-04:00,False,None
257,101,2010-03-28T18:00:00-04:00,False,None
1543,249,2012-03-16T22:00:00-04:00,False,None
1541,249,2012-03-15T20:00:00-04:00,False,None
1544,249,2012-03-17T19:30:00-04:00,False,None
1540,249,2012-03-14T20:00:00-04:00,False,None
1542,249,2012-03-16T19:30:00-04:00,False,None
1545,249,2012-03-17T22:00:00-04:00,False,None
1707,260,2012-05-25T22:00:00-04:00,False,None
1709,260,2012-05-26T22:00:00-04:00,False,None
1705,260,2012-05-24T20:00:00-04:00,False,None
1706,260,2012-05-25T19:30:00-04:00,False,None
1708,260,2012-05-26T19:30:00-04:00,False,None
4675,448,2014-10-08T20:00:00-04:00,False,None
4950,472,2014-11-19T20:00:00-05:00,False,None
1332,238,2011-12-02T22:30:00-05:00,False,None
1329,238,2011-11-30T20:00:00-05:00,False,None
1330,238,2011-12-01T20:00:00-05:00,False,None
1331,238,2011-12-02T20:00:00-05:00,False,None
1333,238,2011-12-03T20:00:00-05:00,False,None
1334,238,2011-12-03T22:30:00-05:00,False,None
2115,283,2012-11-13T20:00:00-05:00,False,None
4044,410,2014-05-28T20:00:00-04:00,False,None
5357,410,2014-05-28T20:00:00-04:00,False,None
8827,2175,2015-04-23T20:00:00-04:00,False,None
8825,2175,2015-04-25T19:30:00-04:00,True,None
8830,2175,2015-04-26T19:15:00-04:00,False,None
8828,2175,2015-04-24T19:30:00-04:00,False,None
8829,2175,2015-04-24T22:00:00-04:00,False,None
8826,2175,2015-04-25T21:45:00-04:00,True,None
990,4,2011-06-08T20:00:00-04:00,False,None
994,4,2011-06-11T20:00:00-04:00,False,None
992,4,2011-06-10T20:00:00-04:00,False,None
991,4,2011-06-09T20:00:00-04:00,False,None
993,4,2011-06-10T22:30:00-04:00,False,None
995,4,2011-06-11T22:30:00-04:00,False,None
1994,275,2012-09-23T20:00:00-04:00,False,None
1694,259,2012-04-28T22:00:00-04:00,False,None
1693,259,2012-04-28T19:30:00-04:00,False,None
1691,259,2012-04-27T19:30:00-04:00,False,None
1690,259,2012-04-26T20:00:00-04:00,False,None
1692,259,2012-04-27T22:00:00-04:00,False,None
3013,324,2013-10-12T16:30:00-04:00,False,None
2904,306,2013-09-28T19:30:00-04:00,False,None
2905,306,2013-09-28T22:00:00-04:00,False,None
2903,306,2013-09-27T22:00:00-04:00,False,None
2901,306,2013-09-26T20:00:00-04:00,False,None
2902,306,2013-09-27T19:30:00-04:00,False,None
963,198,2011-05-03T20:00:00-04:00,False,None
930,211,2011-06-03T20:00:00-04:00,False,None
1897,211,2012-08-24T19:30:00-04:00,False,None
932,211,2011-06-04T19:00:00-04:00,False,None
1898,211,2012-08-24T22:00:00-04:00,False,None
1019,211,2011-06-05T19:00:00-04:00,False,None
929,211,2011-06-02T19:30:00-04:00,False,None
931,211,2011-06-03T22:30:00-04:00,False,None
