id,venue_id,name,logo_url
186,1,Tammy Pescatelli,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1126/original/eve_346_lrg.jpg?1418230420
190,1,Myq Kaplan from Last Comic Standing,
187,1,Gilbert Gottfried Aristocrats,
193,1,Real Housewives of South Philly March into Madness,
192,1,The WaitStaff: The Real Housewives of South Philly,
196,1,Bird Text Comedy Show,
191,1,The WaitStaff: The Real Housewives of South Philly,
200,1,FaceTime with Chip Chantry,
202,1,FaceTime with Chip Chantry,
201,1,FaceTime with Chip Chantry,
206,1,The World Champion Judah Friedlander,
205,1,Lynne Koplitz,
212,1,Jim Breuer | Almost Sold Out,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1133/original/eve_450_lrg.jpg?1418230434
207,1,A Comic's Tale with Vinnie  Jim and Bonnie,
213,1,THIS IS A TEST EVENT,
208,1,Steve Rannazzisi from FX's The League,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1132/original/eve_426_lrg.jpg?1418230432
215,1,Hannibal Buress,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1139/original/eve_498_lrg.jpg?1418230445
217,1,Philly Comic Showcase,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1140/original/eve_499_lrg.jpg?1418230447
224,1,John Mulaney,
223,1,Live Comedy Album Recording with Chip Chantry,
221,1,Reese Waters,
218,1,Ralph Harris from DreamGirls,
220,1,Metro Comedy Live,
232,1,Philadelphia Comedy Academy Graduation,
231,1,Funny is How We Roll,
233,1,Philadelphia Comedy Academy Contest,
234,1,Rich Harkaway - Misbehaving,
230,1,Arabs Gone Wild,
236,1,Carlos Mencia,
240,1,Julian McCullough Live Comedy Central CD Taping,
242,1,Steve Simeone,
246,1,April Macie & Shane Mauss,
244,1,John Oliver from The Daily Show,
247,1,Sarah Colonna from Chelsea,
251,1,Ari Shaffir,
250,1,Lisa Landry,
253,1,Philly's Philthiest,
254,1,Garfunkel & Oates,
252,1,Sklar Brothers,
255,1,Michael Winslow from Police Academy,
261,1,Comedy Seminar,
258,1,Philadelphia's 2nd Annual March Madness Comedy Competition: The Elite Eight Finals,
266,1,5 Greatest Films in American Film History,
265,1,Greg Proops Stand Up & Podcast,
271,1,Jimmy Shubert,
267,1,Robert Mac,
262,1,Brad Trackman,
268,1,Graham Elwood: Stand-up on Wed  Fri  Sat; CFN podcast w/ Sam Levine on Thursday,
270,1,Dana Gould,
273,1,Dan Cummins,
274,1,Jim Norton,
263,1,Chad Daniels,
276,1,Chelsea Peretti from Parks & Recreation,
277,1,Loni Love from Chelsea Lately,
278,1,Corey Holcomb from BET's ComicView,
280,1,Visible Friends present Jamie Kilstein,
279,1,Bryan Callen from The Hangover,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1159/original/eve_1671_lrg.jpg?1418230485
272,1,Jon Lovitz from SNL,
284,1,Dan Naturman,
287,1,Mike E. Winfield,
286,1,Ian Bagg “Late Night with Conan O’Brien”,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1167/original/eve_1889_lrg.jpg?1418230501
290,1,Demetri Martin - Point Your Face At This Tour,
289,1,Eddie Brill Presents Great American Comedy Audition Showcase,
291,1,Josh Wolf from Chelsea Lately,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1173/original/eve_2153_lrg.jpg?1418230514
295,1,4 Headliners 4 A Cause - A Comedy Charity Event,
296,1,Bachelorette viewing party w/ Live Commentary!,
298,1,Jonny Loquasto,
300,1,Jay Pharoah Saturday Night Live,
299,1,Kenny Zimlinghaus,
301,1,Mick Foley,
302,1,Special Event Maria Bamford,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/761/original/undateable.JPG?1417538043
304,1,Tom Segura,
303,1,Tracy Morgan  (Show May Contain Offensive Material),
307,1,Special Event - Rhys Darby,
305,1,Bobby Lee MADtv,
311,1,Rising Stars of Girl Code,
