id,venue_id,name,logo_url
847,6,2014 Portland's Funniest Person Contest Registration,
837,6,2011 VIP Pass,
836,6,Helium Comedy Club Gift Certificate,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/275/original/eve_330_lrg.jpg?1417532101
838,6,2011 VIP Pass,
841,6,Benefit for Linda Huddle Scholarship,
843,6,Team Challenge Benefit,
848,6,Helium Comedy Gift Certificates,
844,6,Helium Comedy Cyber Monday Deal,
849,6,Helium Comedy Gift Certificates,
846,6,Helium Comedy Gift Certificates,
839,6,2011 Portland's Funniest Person Contest,
1266,6,Test Event,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/572/original/Dov_Davidoff.jpg?1417535608
842,6,Marathon Pasta Dinner featuring Arj Barker,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1161/original/eve_1733_lrg.jpg?1418230489
840,6,2012 Portland's Funniest Person Contest,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1156/original/eve_1302_lrg.jpg?1418230478
845,6,2013 Portland's Funniest Person Contest Registration,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1187/original/eve_2459_lrg.jpg?1418230543
850,6,Helium Comedy Gift Certificates,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/293/original/eve_365_lrg.jpg?1417532312
2807,6,2015 Portland's Funniest Person Registration,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/2405/original/ALL_Funniest2015_Prelim_SEAT_0406152.jpg?1428346720
