id,venue_id,name,logo_url
449,1,Helium Presents: Breast Friends,
446,1,Jerrod Carmichael - Special Event,
452,1,Special Event: Brian Posehn,
440,1,The Helium Table Read: Rocky Screenplay,
437,1,Craig Robinson - Special Event,
451,1,Helium Presents: Mitch Fatel,
454,1,Raise the Woof,
455,1,Open Mic Extravaganza,
458,1,Joel McHale - Special Event,
443,1,Helium Presents: Comedy Roulette!,
457,1,Joel McHale - Special Event,
465,1,Helium Presents: Comedy Roulette!,
459,1,Special Event: Todd Glass,
462,1,Helium Presents: Showcase Spectacular,
464,1,Helium Presents: Philly's Phunniest Reunion,
456,1,Special Event: Tom Green,
1316,1,Test Event 2,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/606/original/eve_2454_lrg.jpg?1417536012
1292,1,Helium Presents: Best of Philly round-up,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1696/original/ALL_BestOf_SE_Grfx_012915.jpg?1422629259
1283,1,The Dirty Valentines Show (Test your comedic limits),https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1723/original/ALL_DirtyValentine_SE_020315.jpg?1423086933
1287,1,Special Event: Jen Kirkman,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1733/original/Jen_Kirkman_SE.jpg?1423583461
1284,1,Special Event: Damon Wayans,
1286,1,Helium Presents: Bob Marley,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/341/original/Bob_Marley.jpg?1417532878
1659,1,fdsfsd,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/10/original/eve_7_lrg.jpg?1417528984
1290,1,The Smartest Man in the World Live Podcast,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/174/original/SEProopcast.JPG?1417530913
1660,1,Test Event,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/396/original/eve_763_lrg.jpg?1417533525
1619,1,Helium Presents: Greg Fitzsimmons,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/344/original/Greg_Fitzsimmons.jpg?1417532913
1620,1,Special Event: Donnell Rawlings,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/465/original/Donnell_Rawlings.jpg?1417534341
54,1,Philly's Own  Chris Coccia,
82,1,Whitney Cummings from Chelsea Lately,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/167/original/eve_145_lrg.jpg?1417530831
88,1,Hal Sparks,
96,1,Paul Mecurio - The Daily Show,
95,1,Paul Mecurio from The Daily Show,
97,1,Guy Torry from The Tonight Show with Jay Leno,
98,1,Tom Papa From NBC's The Marriage Ref,
161,1,Jim Gaffigan and Friends,
326,1,Pat House Live CD Taping!,
281,1,Tom Green,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1162/original/eve_1757_lrg.jpg?1418230491
342,1,Greg Warren,
1288,1,Helium Presents: Adam Ferrara,
1289,1,Helium Presents: Adam Ferrara,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/16/original/Adam_Ferrara_SE.jpg?1417529054
189,1,Tommy Davidson,
292,1,Cast of Impractical Jokers,
319,1,Sebastian Maniscalco - Special Event,
80,1,JB Smoove from Curb Your Enthusiasm,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1061/original/eve_63_lrg.jpg?1418230304
101,1,Rooftop National College Comedy Competition,
249,1,Nephew Tommy,
260,1,Donnell Rawlings,
448,1,Dirty Dozen (Test your comedic limits),
472,1,Helium Presents: Chip Chantry,
238,1,Mo Mandel,
283,1,Night of Comedy to Support the Juvenile Diabetes Research Fund,
410,1,FREE Trivia & Comedy Night (Weds  May 28 at 8pm),
2175,1,Special Event: Carly Aquilino,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1259/original/Carly_Aquilino_SE.jpg?1418922737
4,1,Christian Finnegan from VH1’s “Best Week Ever”,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/6/original/eve_4_lrg.jpg?1417528937
275,1,Wired 96.5’s Roast Of Chio,
259,1,Richard Lewis Special Event,
324,1,I Hate 2013 - Joe Fadule,
306,1,Chris Kattan Saturday Night Live,
198,1,Bird Text with Dan St. Germain,
211,1,Jim Breuer from SNL and Half Baked,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1133/original/eve_450_lrg.jpg?1418230434
312,1,Pierre Edwards,
391,1,Bill Burr Presents The All In Comedy Tour,
237,1,J-L Cauvin: Too Big To Fail? CD Recording,
226,1,David Koechner,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1147/original/eve_711_lrg.jpg?1418230460
248,1,Comedians at Law,
257,1,Rex Navarrete,
374,1,Gilbert Gottfried - Special Event,
353,1,Dana Gould,
356,1,TJ Miller Special Event,
420,1,Pete Holmes - Special Event,
442,1,Bill Bellamy - Special Event,
453,1,Special Event: Joey Diaz,
308,1,Test Event,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/791/original/SE_Anytying_Goes.jpg?1417538398
239,1,Mo Mandel Chelsea Lately,
404,1,Alter Ego,
450,1,Helium Presents: Tommy Davidson,
323,1,Jonathan Kite,
83,1,Jeff Garlin from HBO's Curb Your Enthusiasm,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/171/original/eve_148_lrg.jpg?1417530878
168,1,Nick Thune,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/341/original/Bob_Marley.jpg?1417532878
228,1,Chill  Its Just Jokes hosted by Clint Coley,
316,1,Sarah Colonna from Chelsea Lately,
383,1,NBC’s Undateable tour - Special Event,
369,1,The Dirty Dozen (Test your comedic limits),
350,1,Tom Rhodes,
351,1,Smartest Man in the World - Live Podcast - Special Event,
243,1,Anthony Jeselnik from Comedy Central Roasts,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1150/original/eve_894_lrg.jpg?1418230466
348,1,Open Mic,
380,1,Joe Mande #Bitchface Mini World Tour,
407,1,Bobby Lee - Special Event,
179,1,Marc Maron from the WTF Podcast,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1119/original/eve_302_lrg.jpg?1418230407
229,1,Anjelah Johnson from Nail Salon and Bon Qui Qui,
245,1,Tommy Johnagin,
352,1,Greg Proops,
320,1,Jimmy Shubert,
411,1,9th Annual Philly's Phunniest Contest Preliminaries,
430,1,Gary Gulman - Special Event,
346,1,Philadelphia Comedy Academy Contest,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/924/original/Chris_Plumer_SE.jpg?1417540016
195,1,Test,
325,1,Tim Lee  Scientist Turned Comedian,
1908,1,Helium Presents: John McKeever Tell Your Friends,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1971/original/SE_GRAPHIC.jpg?1424810522
1956,1,Helium Presents: Comics in Character,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/2009/original/ALL_ComInCharac_SE_031315.jpg?1426538537
1938,1,Special Event : Carly Aquilino,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1259/original/Carly_Aquilino_SE.jpg?1418922737
199,1,BirdText,
1909,1,Helium Presents: The Midnight Dirty Dozen,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1414/original/DIRTY_SAT.jpg?1418934898
429,1,Helium Presents: Fortune Feimster,
403,1,The Dirty Dozen (Test your comedic limits),
1967,1,Helium Presents: Joe Matarese's Comedy Special Preview,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1014/original/Joe_Matarese_SE.jpg?1417616918
2876,1,Special Event: Aries Spears,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/310/original/Aries_Spears1_SE.jpg?1417532512
3564,1,Helium Presents: Godfrey,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/547/original/Godfrey.jpg?1417535312
