id,order_number,ticket_name,ticket_price,printed,promo_code_id,checked_in
2173004-1,2173004,General Admission,2200,True,,True
2173004-2,2173004,General Admission,2200,True,,True
2205168-1,2205168,General Admission,2200,True,,True
2205168-2,2205168,General Admission,2200,True,,True
2205168-3,2205168,General Admission,2200,True,,True
2205168-4,2205168,General Admission,2200,True,,True
2205328-1,2205328,General Admission,2200,True,,True
2205328-2,2205328,General Admission,2200,True,,True
2195976-1,2195976,General Admission,2200,True,,True
2195976-2,2195976,General Admission,2200,True,,True
2195976-3,2195976,General Admission,2200,True,,True
2205355-1,2205355,General Admission,2200,True,,True
2205355-2,2205355,General Admission,2200,True,,True
2205459-1,2205459,General Admission,2200,True,,True
2205173-1,2205173,General Admission,2200,False,,False
2205173-2,2205173,General Admission,2200,False,,False
2205173-3,2205173,General Admission,2200,False,,False
2205173-4,2205173,General Admission,2200,False,,False
2198902-1,2198902,General Admission,2200,True,,True
2205392-1,2205392,General Admission,2200,True,,True
2205392-2,2205392,General Admission,2200,True,,True
2203772-1,2203772,General Admission,2200,True,,True
2203772-2,2203772,General Admission,2200,True,,True
2204318-1,2204318,General Admission,2200,True,,True
2204318-2,2204318,General Admission,2200,True,,True
2204318-3,2204318,General Admission,2200,True,,True
2204318-4,2204318,General Admission,2200,True,,True
2189675-1,2189675,General Admission,2200,True,,True
2189675-2,2189675,General Admission,2200,True,,True
2199319-1,2199319,Reserved,3000,True,,True
2199319-2,2199319,Reserved,3000,True,,True
2199319-3,2199319,Reserved,3000,True,,True
2199319-4,2199319,Reserved,3000,True,,True
2205288-1,2205288,General Admission,2200,True,,True
2205288-2,2205288,General Admission,2200,True,,True
2205288-3,2205288,General Admission,2200,True,,True
2205288-4,2205288,General Admission,2200,True,,True
2205170-1,2205170,General Admission,2200,True,,True
2205170-2,2205170,General Admission,2200,True,,True
2205171-1,2205171,General Admission,2200,True,,True
2205171-2,2205171,General Admission,2200,True,,True
2205171-3,2205171,General Admission,2200,True,,True
2203944-1,2203944,General Admission,2200,True,,True
2203944-2,2203944,General Admission,2200,True,,True
2205353-1,2205353,General Admission,2200,True,,True
2203937-1,2203937,General Admission,2500,False,,False
2203937-2,2203937,General Admission,2500,False,,False
2206702-1,2206702,General Admission,2500,True,,True
2206702-2,2206702,General Admission,2500,True,,True
2206702-3,2206702,General Admission,2500,True,,True
2206702-4,2206702,General Admission,2500,True,,True
2206708-1,2206708,General Admission,2500,True,,True
2206708-2,2206708,General Admission,2500,True,,True
2206708-3,2206708,General Admission,2500,True,,True
2206708-4,2206708,General Admission,2500,True,,True
2206708-5,2206708,General Admission,2500,True,,True
2206708-6,2206708,General Admission,2500,True,,True
2206708-7,2206708,General Admission,2500,True,,True
2206708-8,2206708,General Admission,2500,True,,True
2206708-9,2206708,General Admission,2500,True,,True
2206708-10,2206708,General Admission,2500,True,,True
2206708-11,2206708,General Admission,2500,True,,True
2206708-12,2206708,General Admission,2500,True,,True
2206708-13,2206708,General Admission,2500,True,,True
2204345-1,2204345,Reserved,3300,True,,True
2204345-2,2204345,Reserved,3300,True,,True
2205159-1,2205159,General Admission,2500,True,,True
2205159-2,2205159,General Admission,2500,True,,True
2205159-3,2205159,General Admission,2500,True,,True
2207309-1,2207309,General Admission,2500,True,,True
2207309-2,2207309,General Admission,2500,True,,True
2200351-1,2200351,General Admission,2500,False,,False
2200351-2,2200351,General Admission,2500,False,,False
2203502-1,2203502,Reserved,3300,True,,True
2203502-2,2203502,Reserved,3300,True,,True
2203502-3,2203502,Reserved,3300,True,,True
2203502-4,2203502,Reserved,3300,True,,True
2203502-5,2203502,Reserved,3300,True,,True
2203502-6,2203502,Reserved,3300,True,,True
2203502-7,2203502,Reserved,3300,True,,True
2207359-1,2207359,General Admission,2500,True,,True
2207359-2,2207359,General Admission,2500,True,,True
2206699-1,2206699,General Admission,2500,False,,False
2206699-2,2206699,General Admission,2500,False,,False
2207419-1,2207419,General Admission,2500,True,,True
2207419-2,2207419,General Admission,2500,True,,True
2198805-1,2198805,General Admission,2500,True,,True
2198805-2,2198805,General Admission,2500,True,,True
2206700-1,2206700,General Admission,2500,True,,True
2206700-2,2206700,General Admission,2500,True,,True
2204897-1,2204897,Reserved,3300,True,,True
2204897-2,2204897,Reserved,3300,True,,True
