event id,show id(s)
1260,4083
1261,4482
1262,4622
1259,5336,3969,4062,5359,4049
2804,12200
1263,4913,16620
7641,26954
6378,23198,23196,23197
1264,17950,5038
6161,22567
6377
6883,24467
